type,name,lat,lng,assetId,tds,AveDrySolids,classification,InletScreened6mm,InletDeGritting,SludgeScreened,CoLocatedSTC,OpsHrs,TankerSizeM3,Collection,SlugePrimaryDestination,SlugePrimaryDestinationPercent,PrimaryTransportMode,SlugeSecondaryDestination,SlugeSecondaryDestinationPercent,SecondaryTransportMode
WwTW,BISHOP AUCKLAND STW,54.6786,-1.6828,WST1802,788,3.53,SB Cphos,Y,Y,N,N,24 hrs 7 days,29,Daily,Willington,84,Road - liquid,Bran Sands,11,Road - liquid
WwTW,BLYTH STW,55.1333,-1.5386,NST1612,775,4.33,CSAS,Y,Y,N,N,24 hrs 7 days,29,Daily,Howdon,100,Road - liquid,,,
WwTW,BOWBURN STW,54.7273,-1.5328,WST1062,305,2.74,SB Cphos,Y,Y,N,N,24 hrs 7 days,29,Daily,Howdon,99,Road - liquid,Hendon,1,Road - liquid
WwTW,BROOMHAUGH STW,54.9521,-1.9574,NST2332,154,3.07,SAS,Y,Y,N,N,24 hrs 7 days,29,Twice Weekly,Howdon,100,Road - liquid,,,
WwTW,BROWNEY STW,54.7417,-1.6011,WST1102,546,3.54,SAS Cphos,Y,Y,N,N,24 hrs 7 days,29,Daily,Willington,63,Road - liquid,Tudhoe Mill,25,Road - liquid
WwTW,CAMBOIS STW,55.1569,-1.5409,NNN1005,656,2.94,SAS,Y,Y,N,N,24 hrs 7 days,29,Daily,Howdon,100,Road - liquid,,,
WwTW,CARLTON & REDMARSHALL STW,54.5929,-1.4046,TST1062,56,1.72,SB,Y,Y,N,N,12 hrs 7 days,18,Weekly,Portrack,96,Road - liquid,Stressholme,3,Road - liquid
WwTW,CHESTER LE STREET STW,54.854551,-1.578047,WST1152,767,4.5,SB Cphos,Y,Y,N,N,24 hrs 7 days,29,Daily,Howdon,93,Road - liquid,Hendon,4,Road - liquid
WwTW,CHILTON LANE STW,54.6671,-1.5215,TST8042,61,3.33,SB,Y,Y,N,N,12 hrs 7 days,18,Weekly,Portrack,58,Road - liquid,Bran Sands,23,Road - liquid
WwTW,CONSETT STW,54.8895,-1.8527,NST2192,931,4.69,SB Cphos,Y,Y,N,N,24 hrs 7 days,29,Daily,Howdon,95,Road - liquid,Birtley,4,Road - liquid
WwTW,CRAMLINGTON STW,55.1109,-1.5816,NST1622,641,3.98,SAS,Y,Y,N,N,24 hrs 7 days,29,Daily,Howdon,100,Road - liquid,,,
WwTW,CROOKHALL STW,54.849,-1.8066,WST1182,53,4.02,SB,Y,Y,N,N,12 hrs 7 days,18,Weekly,Birtley,54,Road - liquid,Consett,40,Road - liquid
WwTW,DIPTON STW,54.8839,-1.7549,NST2242,30,4.94,SB,Y,Y,N,N,12 hrs 7 days,18,Daily,Birtley,100,Road - liquid,,,
WwTW,EAST TANFIELD STW,54.8934,-1.6974,NST2292,454,5.1,SB Cphos,Y,Y,N,N,24 hrs 7 days,29,Daily,Howdon,62,Road - liquid,Birtley,36,Road - liquid
WwTW,ESH WINNING STW,54.7752,-1.6909,WST1242,96,3.41,SB,Y,Y,N,N,12 hrs 7 days,18,Weekly,Willington,95,Road - liquid,Tudhoe Mill,5,Road - liquid
WwTW,FELTON STW,55.2997,-1.7009,NST8662,55,2.2,SB,Y,Y,N,N,12 hrs 7 days,29,Weekly,Howdon,100,Road - liquid,,,
WwTW,FISHBURN STW,54.6794,-1.4495,TST8062,64,3.08,SB,Y,Y,N,N,12hrs 7 days,18,Weekly,Portrack,68,Road - liquid,Tudhoe Mill,18,Road - liquid
WwTW,HALTWHISTLE STW,54.9679,-2.4447,NST1962,77,3.68,SB,Y,Y,N,N,24 hrs 7 days,29,Weekly,Howdon,100,Road - liquid,,,
WwTW,HEXHAM STW,54.9737,-2.0826,NST2092,508,3.98,SAS,Y,Y,Y,N,24 hrs 7 days,29,Daily,Howdon,97,Road - liquid,Birtley,3,Road - liquid
WwTW,HORDEN STW,54.7761,-1.3189,WST2242,1319,4.26,SAS,Y,Y,Y,N,24 hrs 7 days,29,Daily,Hendon,67,Road - liquid,Howdon,32,Road - liquid
WwTW,HUSTLEDOWN STW,54.861,-1.6695,WST1392,375,3.9,SB Cphos,Y,Y,Y,N,12 hrs 7 days,29,Twice weekly,Birtley,55,Road - liquid,Howdon,33,Road - liquid
WwTW,HUTTON RUDBY STW,54.456,-1.2832,TST2082,27,2.37,SB,Y,Y,N,N,12 hrs 7 days,13,Weekly,Portrack,86,Road - liquid,Bran Sands,14,Road - liquid
WwTW,KELLOE STW,54.7171,-1.4748,WST1422,17,1.6,SB,Y,Y,N,N,12 hrs 7 days,29,Weekly,Newton Aycliffe,61,Road - liquid,Tudhoe Mill,30,Road - liquid
WwTW,KNITSLEY STW,54.8288,-1.8082,WST1432,59,3.54,SB,Y,Y,N,N,12 hrs 7 days,18,Weekly,Consett,55,Road - liquid,Birtley,41,Road - liquid
WwTW,LANCHESTER STW,54.8143,-1.7314,WST1442,63,2.69,SB,Y,Y,N,N,12 hrs 7 days,18,Weekly,Consett,53,Road - liquid,Birtley,36,Road - liquid
WwTW,LEAMSIDE STW,54.814,-1.5363,WST1462,38,4.02,SB,Y,Y,N,N,12 hrs 7 days,18,Weekly,Birtley,85,Road - liquid,Tudhoe Mill,11,Road - liquid
WwTW,LOCKHAUGH STW,54.9246,-1.7344,NST2442,312,4.42,SB Cphos,Y,Y,N,N,12 hrs 7 days,18,Weekly,Birtley,60,Road - liquid,Howdon,37,Road - liquid
WwTW,LOW WADSWORTH STW,54.6746,-1.7265,WST1472,314,4.29,SB Cphos,Y,Y,N,N,12 hrs 7 days,29,Weekly,Willington,91,Road - liquid,Bran Sands,6,Road - liquid
WwTW,LYNEMOUTH STW,55.2114,-1.5302,NST2342,236,3.47,SB,Y,Y,N,N,24 hrs 7 days,29,Weekly,Howdon,100,Road - liquid,,,
WwTW,MARSKE STW,54.5962,-1.04,TST6282,1677,4.13,CSAS,Y,Y,N,N,24 hrs 7 days,29,Daily,Bran Sands,98,Road - liquid,Portrack,2,Road - liquid
WwTW,MORPETH STW,55.1692,-1.6747,NST1525,71,3.61,SB Cphos,Y,Y,N,Y,12 hrs 7 days,29,Weekly,Howdon,92,Road - liquid,Cambois,6,Road - liquid
WwTW,NEWBIGGIN STW,55.1752,-1.5213,NST8642,872,3.83,SAS,Y,Y,Y,N,24 hrs 7 days,29,Daily,Howdon,100,Road - liquid,,,
WwTW,PEGSWOOD STW,55.1807,-1.6355,NST1542,64,3.14,SB,Y,Y,N,N,12 hrs 7 days,29,Weekly,Howdon,97,Road - liquid,Birtley,3,Road - liquid
WwTW,ROTHBURY STW,55.3046,-1.8902,NST1432,41,2.63,SB,Y,Y,N,N,12 hrs 7 days,18,Daily,Alnwick,50,Road - liquid,Howdon,48,Road - liquid
